"","X.2","X.1","X","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash","Status"
"78",78,78,78,"SRR12845739","2020/10/26 10:51:59","2020/10/20 12:46:02",1087572,159091402,1086088,146,38,"GRCH38","https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/012544/SRR12845739","SRX9312965","Library_60","WGS","RANDOM","VIRAL RNA","PAIRED",0,0,"ILLUMINA","NextSeq 550","SRP287708","PRJNA669945",NA,669945,"SRS7537931","SAMN16481311","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","isolate_60",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UCL","SRA1145348",NA,"public","2914095767656C24D7FA0C2FDD9CE2E2","A5BA1A0D9FCB5CE0F61AE99832DA3FAC","No Cigar"
"79",79,79,79,"SRR12845734","2020/10/26 10:51:59","2020/10/20 12:46:11",1706396,249472646,1704200,146,57,"GRCH38","https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/012544/SRR12845734","SRX9312970","Library_68","WGS","RANDOM","VIRAL RNA","PAIRED",0,0,"ILLUMINA","NextSeq 550","SRP287708","PRJNA669945",NA,669945,"SRS7537936","SAMN16481316","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","isolate_68",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UCL","SRA1145348",NA,"public","1A15FC46C16A6097AD3D589DE70DE56A","90A621EE4CA1245539D8845952E6472C","No Cigar"
"80",80,80,80,"SRR12845729","2020/10/26 10:51:59","2020/10/20 12:48:58",5886546,861064663,5879418,146,203,"GRCH38","https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/012544/SRR12845729","SRX9312975","Library_72","WGS","RANDOM","VIRAL RNA","PAIRED",0,0,"ILLUMINA","NextSeq 550","SRP287708","PRJNA669945",NA,669945,"SRS7537941","SAMN16481320","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","isolate_72",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UCL","SRA1145348",NA,"public","B383629FFB00C22CF6761BD217CEB620","146AF42ABEB5553A2FEDB6C183A64699","Complete"
"81",81,81,81,"SRR12845728","2020/10/26 10:51:59","2020/10/20 12:46:28",2136357,312341510,2133567,146,71,"GRCH38","https://sra-download.ncbi.nlm.nih.gov/traces/sra67/SRR/012544/SRR12845728","SRX9312976","Library_73","WGS","RANDOM","VIRAL RNA","PAIRED",0,0,"ILLUMINA","NextSeq 550","SRP287708","PRJNA669945",NA,669945,"SRS7537942","SAMN16481321","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","isolate_73",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UCL","SRA1145348",NA,"public","89C2CBD218E0FE4FED4A4ADD91FD1DF7","D7E2952B41BEE235818CE09D42635DF5","Complete"
"82",82,82,82,"SRR12845723","2020/10/26 10:51:59","2020/10/20 12:44:50",121720,17786889,121530,146,4,"GRCH38","https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/012544/SRR12845723","SRX9312981","Library_78","WGS","RANDOM","VIRAL RNA","PAIRED",0,0,"ILLUMINA","NextSeq 550","SRP287708","PRJNA669945",NA,669945,"SRS7537947","SAMN16481326","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","isolate_78",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UCL","SRA1145348",NA,"public","A05D9DDF74CA4F669D603E82973B2395","514D3B8D9592A9081E06A97598E62F51","Complete"
"83",83,83,83,"SRR12845716","2020/10/26 10:51:59","2020/10/20 12:44:27",153035,22408891,152883,146,4,"GRCH38","https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/012544/SRR12845716","SRX9312988","Library_88","WGS","RANDOM","VIRAL RNA","PAIRED",0,0,"ILLUMINA","NextSeq 550","SRP287708","PRJNA669945",NA,669945,"SRS7537954","SAMN16481332","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","isolate_88",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UCL","SRA1145348",NA,"public","87D509273B08360BFF3F9049EBBDC60A","3E6E5F874918AF52D11140DF53472196","Complete"
"84",84,84,84,"SRR13021143","2020/11/10 18:11:54","2020/11/10 18:08:09",5698,14894701,0,2614,11,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/012715/SRR13021143","SRX9471234","nCoV_022","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681584","SAMN16729457","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_022",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","575A06DAA3FACACE351C09538DF31135","7A236C7CD756B9F68C99349D2CA7394A","Complete"
"85",85,85,85,"SRR13021135","2020/11/10 18:11:54","2020/11/10 18:08:15",90101,104853354,0,1163,79,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/012715/SRR13021135","SRX9471242","nCoV_089","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681592","SAMN16729500","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_089",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","DC2F7276620F0EA83B5C86520EE70975","CF01B07BD5236394DD91B695966DEE08","Complete"
"86",86,86,86,"SRR13021134","2020/11/10 18:11:54","2020/11/10 18:08:19",151499,178069494,0,1175,134,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra58/SRR/012715/SRR13021134","SRX9471243","nCoV_090","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681593","SAMN16729501","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_090",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","A09069A239B73652E3A7931A001D5E63","0C43DC05005EE2F4D76CE78A8F01766F","Complete"
"87",87,87,87,"SRR13021133","2020/11/10 18:11:54","2020/11/10 18:08:17",189182,226816890,0,1198,170,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/012715/SRR13021133","SRX9471244","nCoV_098","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681594","SAMN16729502","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_098",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","1027A55D2F8E45426BD2D24A45CE93AE","AA3E499FCFEA7C43605D9BCA8D534739","Complete"
"88",88,88,88,"SRR13021131","2020/11/10 18:11:54","2020/11/10 18:08:10",49363,60581855,0,1227,44,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/012715/SRR13021131","SRX9471246","nCoV_100","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681596","SAMN16729504","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_100",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","536A41E9A50A2AE4C9A81CDFDFE1BE00","DA4C6C2F124661A3515AB3070292CE8B","Complete"
"89",89,89,89,"SRR13021130","2020/11/10 18:11:54","2020/11/10 18:08:09",41596,48565191,0,1167,36,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/012715/SRR13021130","SRX9471247","nCoV_101","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681597","SAMN16729505","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_101",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","42477119B6518549F8EF5D08F785706D","FFA6B83AD5B84A304374EB8AD63F5EAC","Complete"
"90",90,90,90,"SRR13021124","2020/11/10 18:11:54","2020/11/10 18:08:07",52941,63239586,0,1194,46,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/012715/SRR13021124","SRX9471253","nCoV_111","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681603","SAMN16729510","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_111",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","EDF928BDF0052E35AD8B373C50425028","7F01E21462E4EB399D594F3CACCA3F4E","Complete"
"91",91,91,91,"SRR13021120","2020/11/10 18:11:55","2020/11/10 18:08:07",75485,83632114,0,1107,62,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra48/SRR/012715/SRR13021120","SRX9471257","nCoV_131","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681607","SAMN16729514","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_131",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","1BE84AAAD5509215B12CC746E62217B4","F2A6F3D7B3CEA6795D938BB0C3C3ADE1","Complete"
"92",92,92,92,"SRR13021115","2020/11/10 18:11:55","2020/11/10 18:08:11",251332,266134882,0,1058,202,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/012715/SRR13021115","SRX9471262","nCoV_149","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681612","SAMN16729518","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_149",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","88706CC9B002C7BE39648E9734A3269A","C4BA4B2A74D73E0F22A001B0CD84FCB8","Complete"
"93",93,93,93,"SRR13021113","2020/11/10 18:11:55","2020/11/10 18:08:11",128286,150265382,0,1171,112,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/012715/SRR13021113","SRX9471264","nCoV_154","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681614","SAMN16729520","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_154",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","EFCBDA26AA04B37174D3EAF2AECCE3E6","32530C67AABFC6CF14F3114A1728AEA2","Complete"
"94",94,94,94,"SRR13021109","2020/11/10 18:11:55","2020/11/10 18:08:17",186665,210959345,0,1130,157,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra52/SRR/012715/SRR13021109","SRX9471268","nCoV_192","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681618","SAMN16729548","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_192",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","1A0CB2C69C605F41E45B9DD6D6476978","05A20A722A4980605919D021AB234381","Complete"
"95",95,95,95,"SRR13021107","2020/11/10 18:11:55","2020/11/10 18:08:09",97144,112582841,0,1158,84,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/012715/SRR13021107","SRX9471270","nCoV_195","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681620","SAMN16729550","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_195",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","A6A57A2476DA22AF437CC6FA73954CF9","AF5F4D74860D9EA1CC11EB3F9A4E069C","Complete"
"96",96,96,96,"SRR13021104","2020/11/10 18:11:55","2020/11/10 18:08:02",71351,82201978,0,1152,61,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/012715/SRR13021104","SRX9471273","nCoV_198","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681623","SAMN16729553","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_198",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","096042408B839F5C1A656C5C1AAF3FED","A9460A510FE832C946C8E2E45ABDD0FA","Complete"
"97",97,97,97,"SRR13021099","2020/11/10 18:11:55","2020/11/10 18:07:54",37518,41585176,0,1108,31,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/012715/SRR13021099","SRX9471278","nCoV_203","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681628","SAMN16729557","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_203",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","08B250B33673BC08825C924B45159976","CCC720C045BF968DC03445B2E97BDDF3","Complete"
"98",98,98,98,"SRR13021098","2020/11/10 18:11:55","2020/11/10 18:08:03",114783,125066512,0,1089,94,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/012715/SRR13021098","SRX9471279","nCoV_204","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681629","SAMN16729558","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_204",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","6FBED86690800AF2A0352154C3CCA4D6","6765FEC63D80C22671744BC730BE7BE2","Complete"
"99",99,99,99,"SRR13021097","2020/11/10 18:13:36","2020/11/10 18:08:13",233636,269401305,0,1153,204,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/012715/SRR13021097","SRX9471280","nCoV_206","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681630","SAMN16729559","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_206",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","A48990C346F478A8BA28B7B86508AD93","8CDDD19EA7F31E6569386C515D10D2FB","Complete"
"100",100,100,100,"SRR13021093","2020/11/10 18:11:55","2020/11/10 18:08:07",154752,175580996,0,1134,133,"MN908947.3","https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/012715/SRR13021093","SRX9471284","nCoV_214","WGS","PCR","VIRAL RNA","SINGLE",0,0,"OXFORD_NANOPORE","PromethION","SRP292060","PRJNA675364",NA,675364,"SRS7681634","SAMN16729563","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","nCoV_214",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"THE GARVAN INSTITUTE","SRA1157424",NA,"public","B2A988CD54444B6A3C6A81CD3D0B7A1C","D35EB33F7C504E65D1465401102768FC","Complete"
"101",101,101,101,"ERR4890228","2020/12/01 15:36:01","2021/01/10 09:44:38",130667,47904438,0,366,10,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era13/ERR/ERR4890/ERR4890228","ERX4758041","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416461","SAMEA7659455","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659455",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3168786",NA,"public","EDC5DA09A7C25442C900C40E2BCBA911","EFB33A7CA624751C74BAD7DFC1B3E847","Complete"
"102",102,102,102,"ERR4890271","2020/12/01 15:36:01","2021/01/10 09:44:37",294176,99717357,0,338,21,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era12/ERR/ERR4890/ERR4890271","ERX4758085","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416491","SAMEA7659485","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659485",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3168890",NA,"public","C47B2879A2A5749D48054E1E22941F7A","17428019BA601E9D02FB5657D6914B83","Complete"
"103",103,103,103,"ERR4890285","2020/12/01 15:36:01","2021/01/10 09:49:46",675967,284477755,0,420,62,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890285","ERX4758098","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416504","SAMEA7659498","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659498",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3168934",NA,"public","9EB88A3B8C738BB91D139CD6468C0184","11DF8FC0279A8B27960D1BE0C7A1797B","Complete"
"104",104,104,104,"ERR4890294","2020/12/01 15:36:01","2021/01/10 09:45:03",326137,117157119,0,359,28,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890294","ERX4758109","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416515","SAMEA7659509","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659509",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3168962",NA,"public","E55699AC9DB2841F987DCBEF430A0626","69D651BF83B1BCDDDE649B1C23C31852","Complete"
"105",105,105,105,"ERR4890337","2020/12/01 15:36:02","2021/01/10 09:44:52",493232,161245132,0,326,40,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890337","ERX4758149","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416555","SAMEA7659549","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659549",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169089",NA,"public","405621C0352C0ADE009E902BE2F9F465","548665B6ADBC33104E2D9B5583038FEE","Complete"
"106",106,106,106,"ERR4890352","2020/12/01 15:36:03","2021/01/10 09:44:53",86866,22847506,0,263,5,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890352","ERX4758165","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416570","SAMEA7659564","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659564",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169132",NA,"public","EC3F0500232D6F96AE72B93529E8EF24","0543C28D4DD255D93E3922ECB01CF7A7","Complete"
"107",107,107,107,"ERR4890354","2020/12/01 15:36:03","2021/01/10 09:45:38",541437,188462082,0,348,45,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890354","ERX4758167","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416572","SAMEA7659566","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659566",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169144",NA,"public","01161ACE77A042AEA680E95EA2C2D497","CB9014E7DE856DF6BB7F2967F7606690","Complete"
"108",108,108,108,"ERR4890371","2020/12/01 15:36:03","2021/01/10 09:45:01",42334,15234765,0,359,3,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890371","ERX4758183","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416588","SAMEA7659582","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659582",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169187",NA,"public","A6C19C5D64D01D6B731AACC28A59F5A3","F8E16778F8F38AB6A7D9A29D7133C408","Complete"
"109",109,109,109,"ERR4890386","2020/12/01 15:45:32","2021/01/10 09:45:24",277839,90568762,0,325,21,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890386","ERX4758198","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416603","SAMEA7659597","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659597",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169230",NA,"public","4AB21C603AD89F7FA8EC9B6C98B0DD11","9EFE564374491996199D1520EACC7C0C","Complete"
"110",110,110,110,"ERR4890403","2020/12/01 15:45:33","2021/01/10 09:44:55",154384,54006214,0,349,12,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890403","ERX4758216","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416621","SAMEA7659615","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659615",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169284",NA,"public","D23C924962E28DCF803804AB31699891","A31A0A96A731BE5F248C9C07697912C7","Complete"
"111",111,111,111,"ERR4890427","2020/12/01 15:45:33","2021/01/10 09:45:09",118633,41272417,0,347,8,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890427","ERX4758238","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416642","SAMEA7659636","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659636",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169350",NA,"public","DDE9DB13492555989C280CF0E2865A69","5D5927B70B9A0B3DC4DDBF3E0EB5E4F2","Complete"
"112",112,112,112,"ERR4890531","2020/12/01 15:45:35","2021/01/10 09:45:24",199585,58422244,0,292,16,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890531","ERX4758342","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416745","SAMEA7659739","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659739",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169660",NA,"public","272F413529553C5E8FB9CC0672D59DF1","499BFE42DCE8778419AE89A4E800DAF9","Complete"
"113",113,113,113,"ERR4890560","2020/12/01 15:45:36","2021/01/10 09:45:32",287819,108370746,0,376,23,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era13/ERR/ERR4890/ERR4890560","ERX4758370","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416771","SAMEA7659765","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659765",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169750",NA,"public","0E17C9A12898BB5461843768B03BEEBF","4985FFC49EC9F8A98E3612B52082E911","Complete"
"114",114,114,114,"ERR4890572","2020/12/01 15:45:36","2021/01/10 09:46:05",245624,85160265,0,346,20,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890572","ERX4758384","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416786","SAMEA7659780","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659780",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169783",NA,"public","A2CA7DAA8AABAF236C4711FE4E3D511C","21BF0A8EB1524B46614C73A7D1F1785B","Complete"
"115",115,115,115,"ERR4890609","2020/12/01 15:45:37","2021/01/10 09:46:13",372489,130330508,0,349,30,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4890/ERR4890609","ERX4758419","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5416819","SAMEA7659813","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7659813",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3169896",NA,"public","647059512CBD3BB4C1EDD7B99D084182","B0B2B64CCEC912BCCB12D4FD8EA861A7","Complete"
